Model,Correct,Bug Type
"model = Sequential() model.add(Conv2D(32, (5, 5), input_shape=(64, 64, 1), activation='relu')) model.add(MaxPooling2D(pool_size=(2, 2))) model.add(Flatten()) model.add(Dense(128, activation='relu')) model.add(Dense(num_classes, activation='softmax')) #Choose an optimizer and compile the model. model.compile(optimizer = Adam(learning_rate = 0.01), loss = 'categorical_crossentropy', metrics = ['accuracy']) #And print the summary of the model. print(model.summary()) model1 = model.fit(x_train, y_train,batch_size=128, epochs=20)",0,0
"model = Sequential() model.add(Conv2D(32, (5, 5), input_shape=(64, 64, 1), activation='relu')) model.add(MaxPooling2D(pool_size=(2, 2))) model.add(Flatten()) model.add(Dense(128, activation='relu')) model.add(Dense(num_classes, activation='softmax')) #Choose an optimizer and compile the model. model.compile(optimizer = SGD(learning_rate = 0.01), loss = 'categorical_crossentropy', metrics = ['accuracy']) #And print the summary of the model. print(model.summary()) model1 = model.fit(x_train, y_train,batch_size=128, epochs=20)",1,1
"model = Sequential() model.add(Conv2D(32, (5, 5), input_shape=(64, 64, 1), activation='relu')) model.add(MaxPooling2D(pool_size=(2, 2))) model.add(Flatten()) model.add(Dense(128, activation='relu')) model.add(Dense(num_classes, activation='softmax')) #Choose an optimizer and compile the model. model.compile(optimizer = Adam(learning_rate = 0.01), loss = 'mean_absolute_error', metrics = ['accuracy']) #And print the summary of the model. print(model.summary()) model1 = model.fit(x_train, y_train,batch_size=128, epochs=20)",1,2
"model = Sequential() model.add(Conv2D(32, (5, 5), input_shape=(64, 64, 1), activation='relu')) model.add(MaxPooling2D(pool_size=(2, 2))) model.add(Flatten()) model.add(Dense(128, activation='relu')) model.add(Dense(num_classes, activation='softmax')) #Choose an optimizer and compile the model. model.compile(optimizer = Adam(learning_rate = 0.1), loss = 'categorical_crossentropy', metrics = ['accuracy']) #And print the summary of the model. print(model.summary()) model1 = model.fit(x_train, y_train,batch_size=128, epochs=20)",1,3
"model = Sequential() model.add(Conv2D(32, (5, 5), input_shape=(64, 64, 1), activation='sigmoid')) model.add(MaxPooling2D(pool_size=(2, 2))) model.add(Flatten()) model.add(Dense(128, activation='sigmoid')) model.add(Dense(num_classes, activation='softmax')) #Choose an optimizer and compile the model. model.compile(optimizer = Adam(learning_rate = 0.01), loss = 'categorical_crossentropy', metrics = ['accuracy']) #And print the summary of the model. print(model.summary()) model1 = model.fit(x_train, y_train,batch_size=128, epochs=20)",1,4
"model = Sequential()
model.add(Dense(32, input_dim=12, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(128, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(128, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(32, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(1, activation=""sigmoid""))
model.compile(optimizer=""SGD"", loss='binary_crossentropy', metrics=[""accuracy""]) model_result = model.fit(dfX, dfY, batch_size=100, epochs=200, validation_split=0.2, shuffle=True, verbose=2)",0,0
"model = Sequential()
model.add(Dense(32, input_dim=12, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(128, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model_result = model.fit(dfX, dfY, batch_size=100, epochs=200, validation_split=0.2, shuffle=True, verbose=2)
model.add(Dense(128, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(32, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))

model.add(Dense(1, activation=""sigmoid""))
model.compile(optimizer=""SGD"", loss='mean_squared_error', metrics=[""accuracy""]) model_result = model.fit(dfX, dfY, batch_size=100, epochs=200, validation_split=0.2, shuffle=True, verbose=2)",1,2
"model = Sequential()
model.add(Dense(32, input_dim=12, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(Dense(128, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(512, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(512, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(128, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""sigmoid"", kernel_initializer=""he_normal""))
model.add(Dense(32, activation=""sigmoid, kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(1, activation=""sigmoid""))
model.compile(optimizer=""SGD"", loss='binary_crossentropy', metrics=[""binary_accuracy""]) model_result = model.fit(dfX, dfY, batch_size=100, epochs=200, validation_split=0.2, shuffle=True, verbose=2)",1,4
"model = Sequential()
model.add(Dense(32, input_dim=12, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(128, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(128, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(32, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))
model.add(Dense(1, activation=""sigmoid"")) optimizer =SGD(lr=0.1)
model.compile(optimizer=optimizer, loss='binary_crossentropy', metrics=[""accuracy""]) model_result = model.fit(dfX, dfY, batch_size=100, epochs=200, validation_split=0.2, shuffle=True, verbose=2)",1,3
"model1 = Sequential()
model1.add(Conv2D(16, (3,3), activation = 'relu', kernel_initializer = 'he_uniform', input_shape = (28,28,1)))
model1.add(MaxPooling2D((2,2)))
model1.add(Conv2D(32, (3,3), activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(MaxPooling2D((2,2)))
model1.add(Flatten())
model1.add(Dense(100, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(64, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(10, activation = 'softmax'))
model1.compile(optimizer = Adam(), loss='categorical_crossentropy', metrics=['accuracy']) history = model.fit(train_img_gen, epochs = 80, validation_data=val_img_gen, verbose=1, callbacks=[reduce_lr])
history = model.fit(train_img_gen, epochs = 80, validation_data=val_img_gen, verbose=1, callbacks=[reduce_lr])",0,0
