Correct Model ,Source,SGD (1),Adam (2),RMSprop (3),Adagrad (4),Adadelta (5),Nadam (6),Adamax (7),Adagradd (8),MSE (9),MAE (10),CCE (11),BCE (12),SCE (13),0.0001 (14),0.01 (15),0.1 (16),1.0 (17),ReLU (18),sigmoid (19),Tanh (20),Elu (21) ,Gelu (22),Swish (23),Softmax (24)
,,,,,,op1,,,,,               op2,,,,,op3,,,,op4,,,,,
https://www.kaggle.com/code/fchollet/simple-deep-mlp-with-keras,,-,-,-,,,,,,-,-,-,-,,-,-,-,,-,-,-,,,,
https://www.kaggle.com/code/nohrud/acc99-chinese-character-mnist-solution-keras,"model = Sequential() model.add(Conv2D(32, (5, 5), input_shape=(64, 64, 1), activation='relu')) model.add(MaxPooling2D(pool_size=(2, 2))) model.add(Flatten()) model.add(Dense(128, activation='relu')) model.add(Dense(num_classes, activation='softmax')) #Choose an optimizer and compile the model. model.compile(optimizer = Adam(learning_rate = 0.01), loss = 'categorical_crossentropy', metrics = ['accuracy']) #And print the summary of the model. print(model.summary())",1,0,0,,,,,,0,10,0,0,,0,0,16,,0,19,0,,,,
https://www.kaggle.com/code/damienpark/artificial-neural-network-using-keras,"model = Sequential()

model.add(Dense(32, input_dim=12, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(128, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))

model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))

model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(1024, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(512, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))

model.add(Dense(128, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(64, activation=""elu"", kernel_initializer=""he_normal""))
model.add(Dense(32, activation=""elu"", kernel_initializer=""he_normal""))
model.add(keras.layers.Dropout(0.3))

model.add(Dense(1, activation=""sigmoid""))
model.compile(optimizer=""SGD"", loss='binary_crossentropy', metrics=[""binary_accuracy""])
",0,0,0,,,,,,9,10,11,0,,0,0,16,,0,19,0,,,,
https://www.kaggle.com/code/kedarsai/cifar-10-88-accuracy-using-keras,Kaggle,error/added,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/artemsolomko/digits-recognition-with-keras-cnn-and-dnn-on-tfv1/notebook,Kaggle,error/added,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/ekrembayar/fifa-19-deep-learning-with-keras,Kaggle ,error/added,,,,,,,,,,,,,,,,,18,,,,,,
https://www.kaggle.com/code/chandrarajsingh/in-depth-introduction-to-cnn-keras-0-99845,"model1 = Sequential()
model1.add(Conv2D(16, (3,3), activation = 'relu', kernel_initializer = 'he_uniform', input_shape = (28,28,1)))
model1.add(MaxPooling2D((2,2)))
model1.add(Conv2D(32, (3,3), activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(MaxPooling2D((2,2)))
model1.add(Flatten())
model1.add(Dense(100, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(64, activation = 'relu', kernel_initializer = 'he_uniform'))
model1.add(Dense(10, activation = 'softmax'))
model1.compile(optimizer = Adam(), loss='categorical_crossentropy', metrics=['accuracy'])",0,0,0,,,,,,0,0,0,0,13,0,0,16,,0,0,0,,,,
https://www.kaggle.com/code/tahaakr/titanic-with-keras-tf,"model = tf.keras.Sequential()
Dense = tf.keras.layers.Dense
Adam = tf.keras.optimizers.SGD
model.add(Dense(7, input_dim=input_length, activation='softplus'))
model.add(Dense(3, activation='softplus'))
model.add(Dense(1, activation='softplus'))

lr = .001
adam0 = SGD(lr = lr)

# Modeli derleyip ve daha iyi bir sonuç elde edildiğinde ağırlıkları kaydedelim
model.compile(loss='binary_crossentropy', optimizer=adam0, metrics=['accuracy'])
filepath = 'weights.best.hdf5'
ModelCheckpoint = tf.keras.callbacks.ModelCheckpoint
checkpoint = ModelCheckpoint(filepath, monitor='acc', verbose=1, save_best_only=True, mode='max')
callbacks_list = [checkpoint]

history_model = model.fit(X_train[:train_set_size], Y_train[:train_set_size], callbacks=callbacks_list, epochs=num_epochs, batch_size=batch_size, verbose=0) #40, 32
return model, history_model",1,0,0,,,,,,0,0,11,0,13,0,0,16,,0,0,0,,,,
https://keras.io/examples/vision/mnist_convnet/,Keras Documentation,added,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/yassineghouzam/introduction-to-cnn-keras-0-997-top-6,Kaggle,added ,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/rajmehra03/flower-recognition-cnn-keras,Kaggle,added,,,,,,,,,,,,,,,,,,,,,,,
https://www.kaggle.com/code/uysimty/keras-cnn-dog-or-cat-classification,Kaggle,,,,,,,,,,,,,,,,,,,,,,,,
